name,average
Kiana Lor,2.825
Joshua Lonaker,3.675
Dakota Blanco,3.975
Natasha Yarusso,3.575
Brooke Cazares,2.675
Rochelle Johnson,3.8
Joey Abreu,3.3
Preston Suarez,3.275
Lee Dong,3.175
Maa'iz al-Dia,3.0
Maja Nicholson,3.775
Sasha Jansen,3.575
Alexander Sherman,4.075
Edgar Sanchez,3.8
Kolbi Strunk,3.85
Brittany Sath,3.65
Meggan Smith,3.725
Ericka Arreola,3.35
David Pulc,3.95
Kyle Luckey,4.0
Rojesh Her,3.25
David Weber,3.425
Rachel Jambor,4.025
Mus'ab al-Moustafa,3.375
Sila Nguyen,3.45
Samantha Hicks,4.05
Angela Harding,3.55
Brandon Barbour,3.975
Reilly Wagar,3.825
Victoria Ibarra,3.8
Dakota Wirth,3.975
Lauren Klocker,3.75
Michael Benson,4.05
Sean Rozga,3.95
Cody Vermeylen,3.9
Kinaana al-Jamail,3.45
Daniel Garcia,3.2
Katrina Saito,3.875
Joshua Galloway,3.8
Aylin Mendoza,3.3
Sharon Fyfe,3.875
Afnaan el-Mohammed,2.775
Jesse Williams,3.475
Kenny Fukushima,3.525
Tawnie Glaisher,3.85
Britany Stevens,3.85
Alan Trinh,3.425
Zoe Kern,3.625
Sidney Beavers,3.4
Miriam Aguilar,3.05
Issac Mata,2.3
Hannah Uren,3.475
Zachary Bradley,3.1
Moira Buttitto,3.225
Nicole Humpal,4.15
Georgia Williams,3.65
Connor Ferry,3.975
Amanda Tatum,3.625
Cameron Steinberg,3.725
Shuraih el-Karim,2.875
Katelyn Sharp,3.85
Colin Lemont,3.675
Donald Nevins,3.7
Macaela Kadillak,3.575
Brittany Pratt,3.55
Cameron Hancock,3.425
William Grevious,3.725
Lindsey Job,3.3000000000000003
Gabrielle Smith,3.2
Allison Brink-Lomme,3.85
Sheyenne Delgado-Manzanares,3.225
Joseph Smith,3.8
Fikra al-Mina,2.95
Aurelia Davis Ingham,3.675
Taylor Elstun,3.65
Joseph Snider,3.45
Sourinthone Tran,3.7
Ibrahim al-Sawaya,3.65
Alexandra Levy,3.575
Macie Nguyen,3.675
Sean Tegtman,4.075
Casey Vanden Bos,3.4
Staci Maes,2.975
Luke Davey,3.975
Harper Wheeler-Marques,3.8
Sherleen Saravanan,3.3
Myles Vaught,4.025
Juan Guerrero Camacho,3.0
Lindsey Freund,3.625
Savannah Clark,3.475
Bradley Monsell,3.75
Daisha Schmidt,4.15
